"key" "Exped" "Date" "mean_lat" "mean_long" "mean_maxsize" "std_maxsize" "cv_maxsize" "median_maxsize" "string_number" "mean_meansize" "std_meansize" "cv_meansize" "median_meansize" "mean_mediansize" "std_mediansize" "cv_mediansize" "median_mediansize" "excess_mass" "modes_p_value" "unimode" "first_mode" "second_mode" "betaslope" "betaslope_ci_inf" "betaslope_ci_sup"
"Argo 2017__2017-11-16" "Argo 2017" "2017-11-16" -14.7511554182353 118.796817509804 0.0907834541156625 0.122829072098474 1.35298963115001 0.046072735145609 4 0.0142349736460506 0.0159896843006299 1.1232675731062 0.00855236686130329 0.00966050611692095 0.0141486052776987 1.4645821975017 0.00328871981255704 0.233148068579209 0 0.00384893394751629 0.00226357753235322 0.266025777799527 -2.14106438164562 -2.49302438164562 -1.84028438164562
"Argo 2017__2017-11-17" "Argo 2017" "2017-11-17" -15.2671541364706 118.741201970588 25.903474164606 36.6272296298176 1.41398908104243 25.903474164606 2 0.322477966119758 0.4506217913484 1.39737234382412 0.322477966119758 0.0542032942811263 0.0708401875483508 1.30693509477371 0.0542032942811263 0.320501350265011 0 0.0837572470218433 0.0843523056069557 51.8021459257831 -1.2397226539048 -1.3143026539048 -1.1692126539048
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Argo 2018__2018-08-04" "Argo 2018" "2018-08-04" -14.6945700065574 118.795060147541 6.6729806157816 15.3419239044165 2.29911111507396 0.48796688506073 6 0.206055381908473 0.379282775859335 1.84068366643201 0.0149324768495134 0.00226631465205115 0.000817709153172753 0.360810072172758 0.0020608667692944 0.110435329191932 0 0.0131959259189429 0.0137373493310244 37.9785554474576 -1.91550326041474 -2.05494326041474 -1.78864326041474
"Argo 2018__2018-08-05" "Argo 2018" "2018-08-05" -14.942877432 118.829658241667 0.179772978850411 0.32624541736671 1.8147633724097 0.0212612343051354 4 0.0177297641558984 0.0278583492344517 1.57127579303889 0.00474755151015308 0.00220744325976673 0.000896004542203075 0.405901505390339 0.00192149501896402 0.133993961269136 0 0.00381387808726108 0.00376251759466006 0.668918696541982 -1.98210480315919 -2.25951480315919 -1.74219480315919
"Argo 2018__2018-08-06" "Argo 2018" "2018-08-06" -15.4659530659589 118.610800082192 0.762587212533365 1.39638860691933 1.83111988238097 0.0588037605967182 6 0.255204501864315 0.5467426565914 2.14237073639903 0.0111269693978157 0.255537023869894 0.616371670855344 2.4120640583541 0.00474661329860927 0.301369489851741 0 0.0694523749671156 0.0248116360419197 1.47182818747743 -1.05603982702262 -1.12560982702262 -0.987059827022621
"Argo 2018__2018-08-07" "Argo 2018" "2018-08-07" -15.2724126556731 118.032487125 0.0317936921055335 0.0472621616390831 1.48652636762679 0.0167652556597077 6 0.00601290636380869 0.00413076236609776 0.686982653007964 0.00527251078684069 0.00390566364632824 0.00284372661457133 0.728103306398325 0.00363425702302678 0.0967718176638081 0 0.00477236863301364 0.00434705908253866 0.127314753097293 -1.74974926845145 -1.93866926845145 -1.57443926845145
"Argo 2018__2018-08-08" "Argo 2018" "2018-08-08" -15.7755564806803 118.06173495 1.4679821491562 2.79267634965948 1.90239121862941 0.100713629593063 4 0.0717673156744112 0.136183471586307 1.8975695315697 0.00387067535060368 0.00183165433933843 0.000519592159529797 0.283673697799044 0.00168067992654716 0.131664647209453 0 0.00658752045740219 0.00393146521085908 5.65521028121501 -2.31925214372907 -2.47593214372907 -2.17399214372907
"Argo 2018__2018-08-09" "Argo 2018" "2018-08-09" -15.9616878985356 118.553046312762 4.37128565130217 6.58996458417636 1.507557526517 0.250124495265993 6 1.25511701321226 2.91929329435614 2.32591325241039 0.00884099213873266 1.57826402827644 3.8556795497392 2.44298766281192 0.0045787704179128 0.179789450013296 0 0.00445086473238021 0.00466658102652762 12.7869389261859 -2.2523123658537 -2.3679923658537 -2.1433123658537
"Argo 2018__2018-08-10" "Argo 2018" "2018-08-10" -16.204200329639 118.724339776173 0.181780314544311 0.252295859349652 1.38791628775707 0.0918154366915666 4 0.00566369260000404 0.00448424685805654 0.791753220867484 0.00480977182039585 0.004322010539142 0.00475188360811978 1.09946136528004 0.00222752365383299 0.200933973922191 0 0.00226641061681399 0.00204230870376299 0.541603284559847 -2.65378822800287 -2.85651822800287 -2.46617822800287
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Ascension Gov 2017__2017-01-17" "Ascension Gov 2017" "2017-01-17" -8.22947021276596 -14.362729787234 82.4504494160945 135.027600519529 1.63768180132165 9.07006364538711 3 4.70916759063116 5.46953838799536 1.16146607287389 3.41663739668049 1.52596083095773 1.34007702416498 0.878185728610035 2.05993710026635 0.155393117339236 0 2.24904901116957 2.17229605344958 238.281408637447 -1.13069015263346 -1.21855015263346 -1.04733015263346
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Ascension Gov 2017__2017-01-19" "Ascension Gov 2017" "2017-01-19" -7.92287321428571 -14.44238 234.50248210047 NA NA 234.50248210047 1 19.312807200651 NA NA 19.312807200651 2.0650766360298 NA NA 2.0650766360298 0.0961557152043897 0.662 4.63347485307241 NA NA -0.904840802856803 -1.0303908028568 -0.773950802856803
