"key" "Exped" "Date" "mean_lat" "mean_long" "mean_maxsize" "std_maxsize" "cv_maxsize" "median_maxsize" "BRUVS_number" "mean_meansize" "std_meansize" "cv_meansize" "median_meansize" "mean_mediansize" "std_mediansize" "cv_mediansize" "median_mediansize" "excess_mass" "modes_p_value" "unimode" "first_mode" "second_mode" "betaslope" "betaslope_ci_inf" "betaslope_ci_sup"
"2012_Tvedestrand__2012-06-06" "2012_Tvedestrand" "2012-06-06" 58.5938936129032 9.08947058709678 0.423977172546926 0.241567378611018 0.569765058717356 0.426843050841662 7 0.263791027979944 0.252539880338051 0.95734825506367 0.180485726362903 0.263791027979944 0.252539880338051 0.95734825506367 0.180485726362903 0.120680232073476 0.188 0.126682799112534 NA NA -0.612820194751614 -0.906710194751614 -0.298650194751614
"2012_Tvedestrand__2012-06-07" "2012_Tvedestrand" "2012-06-07" 58.5907153384615 9.10538800038462 1.19792703978824 0.666692822636253 0.556538754442097 1.47213286049929 9 0.463852419969205 0.38734160136112 0.835053531437511 0.339934917767435 0.463852419969205 0.38734160136112 0.835053531437511 0.339934917767435 0.0768432558015702 0.464 0.194024199520915 NA NA -0.816251138359413 -0.992051138359413 -0.634901138359413
"2012_Tvedestrand__2012-06-08" "2012_Tvedestrand" "2012-06-08" 58.5903144178082 9.10255284671233 1.20749513697632 1.04114748036538 0.862237410721594 0.925499457603143 9 0.347964520319488 0.307880208149495 0.884803450267892 0.305871772757951 0.347964520319488 0.307880208149495 0.884803450267892 0.305871772757951 0.136723686243084 0 0.302960915122116 0.139426703544787 3.69420461964416 -0.977328624910602 -1.1071786249106 -0.846998624910602
"2012_Tvedestrand__2012-06-11" "2012_Tvedestrand" "2012-06-11" 58.5974182235294 9.11490694058823 2.31908739182175 2.42992507167124 1.04779366238649 1.73017966452836 10 0.468842666471472 0.305799040179353 0.652242344923102 0.548928908734812 0.468842666471472 0.305799040179353 0.652242344923102 0.548928908734812 0.195024905189871 0 0.553315535384935 0.358537546020489 8.80040750957893 -0.953980911853707 -1.05854091185371 -0.848580911853707
"2012_Tvedestrand__2012-06-14" "2012_Tvedestrand" "2012-06-14" 58.5871482957447 9.10830534212766 1.05483607002447 0.632404744047806 0.599528933470331 0.940681981155616 8 0.542669588146587 0.67944175345649 1.25203580281149 0.335418592595507 0.542669588146587 0.67944175345649 1.25203580281149 0.335418592595507 0.164155906327954 0 0.251147230851338 0.25311917301917 1.85707783789129 -0.816752015691908 -1.00397201569191 -0.623422015691908
"Abrolhos_2007_CMF__2007-05-23" "Abrolhos_2007_CMF" "2007-05-23" -28.6722682920526 113.903334108441 5.16178041899494 9.96773044131297 1.93106440650449 1.77038322190816 36 0.216583818539304 0.481500052574975 2.22315801717013 0.0623253945233429 0.216583818539304 0.481500052574975 2.22315801717013 0.0623253945233429 0.0821078109695374 0 0.321150002583785 0.196953000525502 56.4042355013118 -1.21404649209497 -1.22931649209497 -1.19893649209497
"Abrolhos_2007_CMF__2007-05-24" "Abrolhos_2007_CMF" "2007-05-24" -28.7342938714196 114.003421925016 11.8575184408495 33.4848122564974 2.82393086070534 2.87904172858368 44 0.392308466416455 1.98391051068355 5.05701681333975 0.0870723353394343 0.392308466416455 1.98391051068355 5.05701681333975 0.0870723353394343 0.0734785993696452 0 0.256837488669049 0.217231578816602 210.105741928765 -1.15348545931915 -1.16332545931915 -1.14371545931915
"Abrolhos_2007_CMF__2007-05-25" "Abrolhos_2007_CMF" "2007-05-25" -28.78555494145 113.97169877241 7.97317915586024 14.7070548189497 1.84456595436465 2.8410884393538 38 0.0684620275322167 0.0342305056527323 0.499992578172246 0.0624121824301238 0.0684620275322167 0.0342305056527323 0.499992578172246 0.0624121824301238 0.0434020166593595 0 0.215528263701458 0.173281035550655 80.136279076443 -1.25946875397256 -1.27610875397256 -1.24301875397256
"Abrolhos_2007_CMF__2007-05-26" "Abrolhos_2007_CMF" "2007-05-26" -28.8119788284019 113.948944256687 11.1088850025406 12.8627251786047 1.15787724651601 6.77639567539723 20 0.223946988047372 0.544105200540619 2.42961606800232 0.0348471499194079 0.223946988047372 0.544105200540619 2.42961606800232 0.0348471499194079 0.0993281908794131 0 0.434130395018709 0.281045122025117 45.1315428478207 -1.15846676109524 -1.17734676109524 -1.13977676109524
"Abrolhos_2007_CMF__2007-05-27" "Abrolhos_2007_CMF" "2007-05-27" -28.8376180998064 113.94673775552 15.0995766290557 39.9441972064867 2.64538524408844 2.32788528083721 32 0.076585258605362 0.148478791272539 1.93873852457219 0.0379382224449456 0.076585258605362 0.148478791272539 1.93873852457219 0.0379382224449456 0.162475233482835 0 0.201999474463335 0.193762663332322 194.064074165909 -1.16876876152653 -1.18027876152653 -1.15735876152653
"Abrolhos_2007_CMF__2007-05-29" "Abrolhos_2007_CMF" "2007-05-29" -28.8503949395816 113.90276930988 15.0355107278471 24.6558449500084 1.63984086715083 2.57493567248534 22 0.0787692669322907 0.209280003842511 2.65687382900753 0.0303621910536379 0.0787692669322907 0.209280003842511 2.65687382900753 0.0303621910536379 0.0581113801452782 0 0.252677819248738 0.195912835799941 81.9244270517885 -1.18760098618062 -1.21093098618062 -1.16465098618062
