ID lat_in lon_in mean_max_size STD CV median_max_size BRUVS_Number
"1" -20.6650707306141 116.427350395936 14.2062613544839 24.1982165353103 1.70334868066275 3.08085224627327 44
"2" -20.5171217468806 116.581392335116 13.4582175508478 22.4169859257289 1.66567272679559 4.29355437225957 32
"3" -20.3294641563394 116.465718303146 8.83655421452357 14.4891575266894 1.63968410931891 2.48009448285524 20
"4" -20.0968299574694 116.399395108985 23.999315164784 23.7371146668454 0.989074667500371 13.0629413761085 38
"5" -20.4508152758133 116.529263507779 10.1353294118873 17.3832687614276 1.71511630801456 3.65239879827681 10
"6" -21.8937855654762 114.160450297619 13.7223306054498 36.9494074400313 2.69264810056076 2.050737 20
"7" -22.3321703979174 114.189610710301 16.8489437926744 36.3780673956286 2.15907108737849 2.04156556224457 49
"8" -22.1085048833819 114.486945991254 4.92736077665978 12.7389872663923 2.58535711992819 1.567102 37
"9" -22.3440198032787 114.174775213115 21.4975078495845 42.1765361361601 1.96192676989651 1.76160136884255 34
"10" -22.0243057268722 114.448775770925 2.10700902389338 2.91172705575361 1.38192434049155 0.7713848 13
"11" -21.9479 114.4188 7.19453415491394 NA NA 7.19453415491394 1
"12" -21.6123114864644 114.28066289591 17.295392220315 26.7103498004629 1.54436218966397 9.1939665 20
"13" -20.893524964327 115.191309129889 18.3155606503077 29.4305953300313 1.60686292338732 8.06558951463575 27
"14" -21.4301991424763 114.746451429083 21.8311837396139 38.7673186065333 1.77577721249204 7.165909 29
"15" -20.7382159967426 115.230988560666 20.4450421568873 23.6515604881343 1.1568359853035 11.907673804649 30
"16" -20.2751323197721 115.306687977388 15.0480740313194 17.7203994108988 1.17758587404724 12.6931592199078 26
"17" -20.6269384258706 116.426765181144 68.7638776405929 147.159597537843 2.14007124942836 8.64082210497452 15
"18" -21.7891579119691 114.148014029472 46.8284713251256 68.7329923554288 1.46776075345749 13.3943697182792 24
"19" -20.5943621644216 116.461960155784 10.7598744724121 19.0501714582935 1.77048268612587 6.77018359308702 18
"20" -20.4121033238487 116.823105810197 14.2695630419118 17.0049914236477 1.19169671654987 6.31714893732275 12
"21" -20.9025029381188 115.91597858474 46.6404750707481 100.116492831995 2.14655817034731 7.50011023344232 26
"22" -21.7440493375175 114.269285800467 25.9858136457779 50.7159897749568 1.95167988450487 7.93478140824161 34
"23" -21.5595488911908 114.728338090219 23.5278073060434 40.9120522685169 1.73888079481203 8.13084681625211 31
"24" -21.4614133733584 114.932258158366 37.6386138092375 121.51176151684 3.22838035780737 6.597621 27
"25" -21.6488197600109 114.493074854634 24.4749193389377 46.725430234824 1.9091147794096 6.4057781147072 26
"26" -21.3246701341997 115.099209510988 27.7136840509871 54.5021500088321 1.9666151172309 8.54400275372275 27
"27" -21.1448215316551 115.616657916765 22.6152685275815 49.1329779613772 2.17255779658132 8.146312 27
"28" -9.88232367191456 143.304815690347 76.9154120261287 95.7629396615047 1.24504227616922 14.4714 13
"29" -10.0087318082664 143.549296221384 18.3397289497238 39.9597295342921 2.17886151119447 3.47813505169621 14
"30" -9.9494275171018 143.293408628381 10.1512012887118 6.75554105948456 0.66549178440553 10.7084921037791 14
"31" -11.5644711639558 143.000019456424 29.9920299527156 36.2148023610421 1.20748086802184 13.8361418413163 15
"32" -11.253206899884 142.907517099681 15.5436841553924 20.0615511736933 1.29065612586663 9.45265961200769 16
"33" -11.5206865587045 143.007385290148 11.4734248920882 3.69120637728262 0.321717918755715 13.8361418413163 16
"34" -9.96343306953839 143.388382317669 13.7753330676829 19.3573523913909 1.40521846522923 11.21516 15
"35" -10.71676103624 143.96771075118 21.5961616937915 14.5239220101858 0.672523303729533 15.8157479848482 16
"36" -12.2444591954023 143.224977586207 18.1861810934908 51.7541075717985 2.84579303954707 2.42704009331011 14
"37" -11.9650430400619 143.266735384353 15.6954458809023 28.0019393574065 1.78408052691758 9.26190577954371 7
"38" -10.76410908021 143.973182270505 15.3364583898841 13.5571763910746 0.883983514734852 11.21516 17
"39" -10.06003635153 143.777880866084 42.1087362044744 50.8658786034604 1.2079649780146 14.6934259206582 12
"40" -10.7362053291307 143.972101672892 25.1863239114018 16.8180346319741 0.667744713009137 19.3724761330954 17
"41" -11.7408872672152 142.973851028758 7.02584626838402 5.0943668541508 0.725089428312033 7.46295378586944 6
"42" -10.002099949904 143.530748753902 19.9740531320465 64.851732985586 3.24679886234694 2.65399916315811 17
"43" -10.147757060858 143.623581145015 7.45467060832769 15.9729755455529 2.14268025842877 3.91012761513075 18
"44" -12.2463558196497 143.214865093949 9.44189150927585 20.3550199747118 2.15582015051907 2.39132175119459 20
"45" -12.2521318072435 143.242499484549 14.1563487170448 30.5471588972054 2.15784165167006 6.03932621323004 19
"46" -13.5037776714835 143.733723972527 7.69602955925272 6.59032124843505 0.856327434516113 6.85086368863407 20
"47" -11.4545560126781 143.043292096296 54.6035242401815 94.6510070739607 1.73342304166347 14.4964436389911 20
"48" -11.5400802157633 143.027649559533 28.605899429561 33.1045611642758 1.15726342553193 16.7805629884735 20
"49" -11.5994210264602 142.940515678693 13.5563898154114 12.9781012836107 0.957341995938821 10.3453222022817 20
"50" -10.1904187321646 143.676284461669 16.1772227197003 18.1743522481177 1.12345317629739 8.35829 15
"51" -12.2422727252078 143.206859800978 19.4738617262295 25.8384525310969 1.32682735937756 7.55894246294922 19
"52" -13.9865808863815 143.986672188948 13.465729607764 12.5199524340008 0.92976413448716 11.0714064380688 18
"53" -11.5978173702214 142.938122324009 15.3714640137199 16.4274885890474 1.06870032512095 9.80106521348352 18
