ID lat_in lon_in beta_slope inf_CI sup_CI number_of_BRUVS
"114" -22.3361238132296 166.229775525292 -1.16546622855542 -1.19946622855542 -1.13246622855542 7
"115" -21.4019309638554 164.926645662651 -1.0868126805657 -1.16681268056569 -1.0088126805657 2
"116" -22.3686810643564 167.094531935644 -1.01464466674787 -1.04264466674787 -0.986644666747868 4
"117" -22.4104347207547 167.154145860377 -1.07621388400601 -1.11421388400601 -1.03821388400601 4
"118" -22.4272556025641 167.207450974359 -1.09345206635691 -1.1294520663569 -1.05845206635691 2
"119" -21.6468263953488 165.428670581395 -1.22731792359586 -1.34331792359586 -1.11531792359586 2
"120" -22.392671704918 167.164708898361 -0.987246803495484 -1.01724680349549 -0.957246803495483 4
"121" -18.4758648929664 163.094987798165 -1.49273749676781 -1.55173749676781 -1.43673749676781 3
"122" -21.0032999305556 164.610157916667 -1.15155662289785 -1.21355662289785 -1.09055662289785 6
"123" -18.47566 163.096321976744 -1.40483906392023 -1.50183906392023 -1.31783906392023 1
"124" -22.02134775 165.9544225 -1.11155866709791 -1.20455866709791 -1.02055866709791 3
"125" -22.4434596571429 167.106172824762 -1.00541625663704 -1.03441625663704 -0.976416256637037 4
"126" -22.387458186227 166.879780339476 -0.994329613185398 -1.0113296131854 -0.9773296131854 11
"127" -18.2132861861282 162.987522380158 -1.05244497709196 -1.07144497709195 -1.03344497709195 8
"128" -22.3132494179104 166.247240328358 -0.983680890983184 -1.00268089098318 -0.964680890983182 12
"129" -20.9334165930599 165.503691104101 -1.016997944056 -1.034997944056 -0.998997944055997 12
"130" -20.2219481296296 163.876119964506 -1.07000884336854 -1.09100884336854 -1.05000884336854 8
"131" -20.215848875969 164.447145736434 -1.04465903829383 -1.08965903829383 -1.00065903829383 6
"132" -21.009361605948 164.612641333829 -0.987586690043747 -1.00358669004374 -0.971586690043743 11
"133" -22.3894248366959 166.291739132362 -1.56961767419408 -1.57961767419408 -1.55961767419408 10
"134" -18.0489853 162.951231978788 -1.15325342923188 -1.18925342923187 -1.11825342923187 8
"135" -22.858224048913 166.805912880435 -1.0612140548172 -1.0902140548172 -1.0322140548172 8
"136" -18.3037658793309 162.993785910394 -0.995245942649007 -1.01224594264901 -0.978245942649007 8
"137" -20.3872323232323 164.654334646465 -1.08367060665426 -1.11467060665426 -1.05267060665426 12
"138" -21.980315489555 166.909081861944 -1.0328724688884 -1.0528724688884 -1.0128724688884 12
"139" -19.6142623561191 163.352940566703 -1.05936312299374 -1.07636312299374 -1.04336312299374 6
"140" -22.6503265251989 166.91791734748 -1.04188756881815 -1.07488756881815 -1.00988756881815 4
"141" -21.2239013658537 165.852263853659 -1.02068170058722 -1.12868170058722 -0.912681700587221 3
"142" -21.6449285613208 166.393592346698 -1.16857968428608 -1.18957968428608 -1.14857968428608 12
"143" -22.4754463819095 166.399258869347 -1.07381177812639 -1.09081177812639 -1.05681177812639 9
"144" -20.3928554139535 164.698798176744 -1.1539339071976 -1.2099339071976 -1.0989339071976 4
"145" -21.4114300992736 164.970010062954 -1.12178264740519 -1.15478264740519 -1.08978264740519 8
"146" -18.4592835416667 163.188844454167 -0.889498084941402 -0.931498084941399 -0.846498084941402 7
"147" -18.2882133209302 163.07930292093 -0.967598479758173 -1.00959847975817 -0.925598479758172 4
"148" -22.0115791535433 165.938677980315 -0.979746493208941 -1.01774649320894 -0.941746493208942 8
"149" -19.6755161428571 163.9716220625 -1.10470950792627 -1.15570950792627 -1.05370950792627 4
"150" -22.8923947318612 166.965193911672 -1.13813464619945 -1.18313464619945 -1.09413464619945 7
"151" -18.32423 162.961120166667 -1.17102378545008 -1.30602378545008 -1.04302378545008 1
"152" -21.8746313986014 165.76029013986 -1.09921314234914 -1.15421314234914 -1.04521314234914 10
"153" -18.1509197649123 162.821540319298 -0.9986816525001 -1.0326816525001 -0.964681652500101 5
"154" -22.092601386673 113.814750495049 -1.04403960390208 -1.11403960390209 -0.975039603902086 3
"155" -22.6169068677191 113.554598412698 -1.07564872529406 -1.11064872529406 -1.04064872529406 27
"156" -23.6071370455672 113.238562393999 -1.01847106683053 -1.04647106683052 -0.990471066830526 20
"157" -22.0485908390063 113.806064465409 -0.903671659597009 -0.935671659597009 -0.870671659597008 17
"158" -22.1984820005797 113.749982258065 -1.10021581654793 -1.15121581654792 -1.05021581654793 10
"159" -22.1281985027784 113.793916425121 -0.920733576531174 -0.996733576531174 -0.842733576531174 4
"160" -22.1534665676367 113.767844029851 -0.998567928778208 -1.05956792877821 -0.937567928778208 12
"161" -22.6836193944485 113.486688888889 -0.742372650887152 -0.88337265088715 -0.587372650887151 15
"162" -22.8433124865139 113.717590032662 -1.01738678371585 -1.02638678371585 -1.00838678371585 29
"163" -23.2604911330159 113.756417986711 -1.09854411063132 -1.10854411063132 -1.08854411063132 30
"164" -22.119809944728 113.867038736673 -1.03308184009861 -1.04408184009861 -1.02208184009861 17
"165" -22.4573615985704 113.727478161968 -0.981385761446711 -0.99038576144671 -0.972385761446709 29
"166" -23.797563009302 113.399815269735 -1.22194620880979 -1.23394620880979 -1.20994620880979 24
"167" -23.8081419634305 113.425961875149 -1.06959963320449 -1.08159963320449 -1.05759963320449 28
"168" -23.7540541053423 113.272324478064 -0.860382366814492 -0.889382366814491 -0.831382366814491 21
"169" -22.2407073468625 113.787522310875 -0.871168746997724 -0.895168746997726 -0.847168746997724 28
"170" -22.1400226811114 113.814606629116 -0.981834023071715 -0.997834023071714 -0.965834023071714 28
"171" -23.7782195146042 113.337175589277 -1.18538968685886 -1.21138968685886 -1.15938968685886 16
"172" -22.0868864646407 113.826559339112 -0.94833252494599 -0.964332524945988 -0.932332524945988 27
"173" -22.8303689256333 113.515097936508 -0.994325920293214 -1.01532592029321 -0.973325920293213 20
"174" -23.7560425828195 113.292412917301 -0.96326887015714 -0.99226887015714 -0.93426887015714 28
"175" -22.7733696367556 113.573193561077 -0.999505096496809 -1.01350509649681 -0.985505096496809 29
"176" -22.2805857301504 113.775537651435 -0.989351291456636 -1.01035129145664 -0.968351291456635 31
"177" -23.7866461608999 113.328603134503 -0.94538653330826 -0.965386533308259 -0.925386533308259 20
"178" -22.1659929663742 113.838187477735 -1.02587637512213 -1.04387637512213 -1.00787637512213 21
"179" -22.7193188576256 113.614255422972 -1.12082455179288 -1.13382455179288 -1.10782455179288 23
"180" -22.8118655317571 113.677610986857 -1.05030668358223 -1.06430668358223 -1.03630668358223 22
"181" -23.813415284101 113.464439204857 -1.21888083084929 -1.24288083084929 -1.19488083084929 15
"182" -22.7718853066942 113.641587909825 -1.08006398336048 -1.09606398336048 -1.06406398336048 35
"183" -22.21505703865 113.793313984758 -0.966763066418925 -0.980763066418923 -0.952763066418925 18
"184" -22.8627744175824 113.703276725275 -1.02505340096194 -1.05805340096194 -0.992053400961936 9
"185" -22.6705766703768 113.595640043705 -1.0510628098191 -1.0640628098191 -1.0380628098191 34
"186" -22.3332246345257 113.733626143079 -1.05508467676852 -1.08008467676851 -1.03008467676851 21
"187" -22.1712485072145 113.788838838612 -0.885376934544412 -0.930376934544409 -0.839376934544411 11
"188" -22.3105826530612 113.774001496599 -1.05597724587622 -1.11397724587622 -0.998977245876215 4
"189" -13.9456417489422 143.839141043724 -1.00141339800222 -1.02041339800222 -0.982413398002219 18
"190" -14.4647222222222 144.887430555556 -1.24243520131081 -1.33143520131081 -1.15643520131081 4
"191" -13.6678324022346 143.895134078212 -1.05779665878847 -1.10979665878847 -1.00679665878847 6
"192" -14.2886560402292 144.7681888125 -1.05449641874687 -1.08249641874687 -1.02649641874687 15
"193" -13.949876870102 143.972076307347 -1.0351156192482 -1.0541156192482 -1.0161156192482 17
"194" -14.0606650389109 144.000353762376 -0.983501187522673 -1.02550118752267 -0.941501187522672 12
"195" -13.5254720496894 143.775931677019 -1.03614743992712 -1.07114743992712 -1.00114743992712 7
"196" -13.9087719565152 143.841260424242 -0.984624213911847 -1.04962421391185 -0.919624213911845 6
"197" -13.4759813108901 143.826430070549 -1.0464801768299 -1.0644801768299 -1.0284801768299 15
"198" -13.524640625 143.77958125 -1.00897687744731 -1.04297687744731 -0.974976877447308 10
"199" -13.9809369995586 143.904494739898 -1.07734726426771 -1.09834726426771 -1.05634726426771 11
"200" -14.1432173913043 144.225652173913 -0.906004915733445 -1.00100491573344 -0.808004915733445 5
"201" -13.4761104972376 143.739276243094 -1.00306730578349 -1.03306730578349 -0.973067305783484 7
"202" -13.6513565891473 143.727178294574 -1.02430695765743 -1.08730695765743 -0.961306957657435 6
"203" -13.5890578188034 143.770140555556 -1.00541648090028 -1.04741648090028 -0.963416480900278 14
"204" -14.0740611112308 144.224174358974 -0.957410642915149 -1.00541064291515 -0.90841064291515 7
"205" -14.0445504724277 144.012453606936 -1.05491879485352 -1.08491879485352 -1.02491879485352 9
"206" -13.997985915493 144.008014084507 -0.983399938104252 -1.01839993810425 -0.948399938104252 3
"207" -14.0571232876712 144.248719178082 -1.0315508637499 -1.0905508637499 -0.9735508637499 3
"208" -13.477374953271 143.733485981308 -0.996610488510351 -1.05561048851035 -0.937610488510352 7
"209" -13.9359888888889 143.888977777778 -0.967037167182208 -1.02903716718221 -0.90403716718221 5
"210" -13.8073 143.782566666667 -1.16983183271677 -1.31283183271677 -1.03583183271677 3
"211" -13.797 143.755 -2.03928557634439 -2.57528557634438 -1.60128557634438 1
"212" -26.1224120221481 113.233541974454 -1.08214498327285 -1.09014498327285 -1.07414498327285 65
"213" -26.1399688706429 113.178257283295 -1.0672465621356 -1.0762465621356 -1.0582465621356 61
"214" -26.1021613339305 113.245358340007 -1.09159778286964 -1.10159778286964 -1.08159778286964 54
"215" -26.1501657681831 113.19719438683 -1.07030581832331 -1.08030581832331 -1.06030581832331 69
"216" -26.0457807736769 113.221626686281 -1.10246168343229 -1.11346168343229 -1.09246168343229 50
"217" -20.1166966216216 116.433637837838 -1.24361928845736 -1.32061928845736 -1.16961928845736 5
"218" -20.1493395196507 116.219373144105 -0.937711791807014 -0.966711791807015 -0.907711791807014 14
"219" -20.1404844613918 116.342126882745 -1.0243673900404 -1.0423673900404 -1.0063673900404 16
"220" -20.1332096551724 116.431235862069 -0.998205810483866 -1.01620581048387 -0.980205810483866 17
"221" -20.1542938650307 116.216891411043 -0.667917608713598 -0.748917608713597 -0.583917608713598 4
"222" -20.138729 116.2031965 -0.742767989531882 -0.801767989531882 -0.681767989531881 4
"223" -20.1616979865772 116.221812080537 -0.891616758738002 -0.941616758738004 -0.840616758738001 6
"224" -20.1412929292929 116.342842712843 -0.83916248087458 -0.86416248087458 -0.814162480874579 17
"225" -20.118263322884 116.436426332288 -0.979176457980568 -1.00917645798057 -0.949176457980567 11
"226" -20.1407135678392 116.213263819095 -0.96989654714695 -0.988896547146947 -0.950896547146947 22
"227" -20.1301687533729 116.431101079331 -1.18749399828125 -1.20149399828125 -1.17349399828125 8
"228" -20.1414379310345 116.423617241379 -0.89016610090593 -0.917166100905931 -0.863166100905929 9
"229" -20.0728099173554 116.636718044077 -1.12472522153532 -1.14172522153532 -1.10772522153532 22
"230" -20.0647174718196 116.63891489533 -1.18201341967709 -1.20101341967709 -1.16301341967709 19
"231" -20.1143929411765 116.428908235294 -1.1727477004178 -1.2527477004178 -1.0957477004178 4
"232" -20.1200224315069 116.462464726027 -1.00112522202513 -1.03112522202513 -0.971125222025126 11
"233" -20.1303624197002 116.436284047109 -1.17152396541385 -1.19352396541385 -1.14952396541385 10
"234" -20.1513792482381 116.22559036805 -0.977285763519948 -0.992285763519948 -0.962285763519947 19
"235" -20.1413881748072 116.421335475578 -1.08252876779207 -1.11552876779207 -1.05052876779207 7
"236" -20.0646598726115 116.643977866242 -0.979852987593301 -1.0268529875933 -0.9328529875933 15
"237" -20.1286893772894 116.437098190476 -1.02354477304217 -1.05854477304217 -0.988544773042168 10
"238" -20.0570403567447 116.636345121516 -1.16388033365068 -1.18588033365068 -1.14188033365068 17
"239" -20.1395397283531 116.420972018676 -1.02608384713408 -1.04708384713408 -1.00508384713408 18
"240" -20.0703522556391 116.654472071429 -1.14861191874203 -1.19561191874203 -1.10261191874203 5
"241" -20.1248648148148 116.436867611111 -1.22727203665389 -1.36227203665389 -1.09927203665389 3
"242" -20.0719898190045 116.635617719457 -0.962895544575567 -0.990895544575565 -0.934895544575568 25
"243" -20.1245618547297 116.430348150338 -0.919893563272648 -0.960893563272649 -0.877893563272647 10
"244" -20.1258275132275 116.431928126984 -0.927362752578793 -0.972362752578793 -0.882362752578793 5
"245" -20.1358328358209 116.426889837178 -0.928708734550566 -0.955708734550569 -0.901708734550567 20
"246" -20.1251913043478 116.437631014493 -0.783997128174095 -0.969997128174096 -0.592997128174098 3
"247" -20.1135 116.438380137931 -1.29954911193994 -1.55254911193995 -1.06354911193995 1
"248" -20.1323588911223 116.427061976549 -0.834893737935765 -0.864893737935766 -0.804893737935764 20
"249" -20.126220873385 116.435503875969 -0.958059200196004 -0.989059200196003 -0.927059200196005 18
"250" -20.1461005904059 116.22535301353 -0.953059030020477 -0.978059030020475 -0.928059030020474 17
"251" -20.1438415613682 116.208718309859 -1.33498541390908 -1.38898541390908 -1.28198541390908 17
"252" -20.14018168 116.4102892 -1.0583403367487 -1.1143403367487 -1.0033403367487 6
"253" -20.8678321418039 115.507781122251 -1.06538816252988 -1.07838816252987 -1.05238816252987 26
"254" -20.8895034356527 115.569418530337 -1.44373158710925 -1.46173158710925 -1.42573158710925 25
"255" -20.8788911078473 115.491324496497 -1.03674738863654 -1.04774738863654 -1.02574738863654 30
"256" -20.7997555148998 115.479542654035 -1.06525000282694 -1.07825000282694 -1.05225000282694 23
"257" -20.8505790921067 115.478411121513 -1.06787249716977 -1.08087249716977 -1.05487249716977 27
"258" -20.7632992266949 115.490039172914 -1.17794613095219 -1.20694613095219 -1.14994613095219 15
"259" -20.5705662381847 115.543160746168 -1.11491223854535 -1.13291223854535 -1.09691223854535 13
"260" -20.6963248034657 115.384172419654 -1.25513705064014 -1.28813705064014 -1.22313705064014 25
"261" -20.8260380816313 115.494146549326 -1.0783115602075 -1.0883115602075 -1.0683115602075 43
"262" -20.7382918227122 115.487063573964 -0.988413513530792 -1.00341351353079 -0.97341351353079 19
"263" -20.8195247636111 115.500858223502 -1.14728433713489 -1.15828433713489 -1.13628433713489 32
"264" -20.8636397869824 115.492715327092 -1.19518576032368 -1.21218576032367 -1.17818576032368 35
"265" -20.9413883221759 115.524643988677 -1.09363573084511 -1.1076357308451 -1.07963573084511 35
"266" -20.8670895613501 115.527327062201 -1.10619351340805 -1.12319351340805 -1.08919351340806 17
"267" -20.5465495256328 115.565064122702 -0.977507514966497 -1.0025075149665 -0.952507514966495 12
"268" -20.5146251802494 116.718258978675 -0.980054271560711 -0.996054271560709 -0.964054271560709 28
"269" -20.5599197928089 116.717230887617 -1.09273650498948 -1.10773650498949 -1.07773650498948 18
"270" -20.4266296618738 116.7878153535 -1.10193715744149 -1.11393715744149 -1.08993715744149 36
"271" -20.4554761917783 116.653973884408 -0.950913016429169 -0.967913016429168 -0.93391301642917 28
"272" -20.3983767403704 116.788069405321 -1.04956796426398 -1.06456796426398 -1.03456796426398 23
"273" -20.4271808891198 116.682688857479 -1.08807720737775 -1.10307720737775 -1.07307720737775 26
"274" -20.4132889862353 116.709227194245 -1.03809205112495 -1.05009205112496 -1.02609205112496 29
"275" -20.5372249408134 116.719535648148 -1.06805855799631 -1.08705855799631 -1.04905855799631 20
"276" -20.5071366280003 116.697132525697 -1.1541171432242 -1.16611714322421 -1.1421171432242 28
"277" -20.5096878600094 116.760859571833 -1.05941652095978 -1.07641652095978 -1.04341652095978 21
"278" -20.4930486030125 116.691642860734 -1.0895521407038 -1.11055214070381 -1.0685521407038 16
"279" -20.4308777156729 116.722185854491 -1.00006558759364 -1.00706558759364 -0.993065587593637 35
"280" -20.5214830622484 116.682778580678 -1.08824553976129 -1.10424553976129 -1.07224553976129 24
"281" -20.3958853169113 116.750412647753 -1.01041693070451 -1.02641693070451 -0.994416930704507 21
"282" -20.4543096067735 116.727254104868 -1.03351704502352 -1.04451704502351 -1.02251704502352 42
"283" -20.7708205990543 115.444736545102 -1.13351478393516 -1.14751478393516 -1.11951478393516 35
"284" -20.7909188402464 115.482421760481 -1.13629603776653 -1.15029603776653 -1.12229603776653 30
"285" -20.877730956681 115.521201974927 -1.06929532702787 -1.08729532702787 -1.05129532702787 19
"286" -20.8509873301875 115.532077922515 -1.14979918507458 -1.16479918507459 -1.13479918507458 35
"287" -20.7511865890492 115.430701321975 -1.24808170979523 -1.26908170979523 -1.22808170979523 30
"288" -20.8165666762661 115.494274711549 -1.24792979774695 -1.28892979774695 -1.20792979774695 10
"289" -20.8060786395315 115.475930433231 -1.14267847207217 -1.16367847207217 -1.12167847207217 14
"290" -21.7922965169231 114.129730948718 -1.08549919032735 -1.12749919032735 -1.04349919032735 10
