"key" "Exped." "Year" "Month" "Date.x" "Bathymetry" "Slope" "distPort" "distCoast" "FE_DriftingLongline" "FE_OtherFishing" "FE_Trawlers" "FE_FixedGear" "FE_PurseSeine" "TERRITORY1" "RuleofLaw_mean" "NoViolence_mean" "GovernmentEffectiveness_mean" "Voice_mean" "Corruption_mean" "distSeamounts" "MarineEcosystemDependency" "conflicts" "HDI_mean" "SST_mean" "sst_week" "CHL" "SST_sd" "PP" "protection" "distCoralReef" "distMarket" "TravelTime_market" "mean_lat" "mean_long" "mean_maxsize" "std_maxsize" "cv_maxsize" "median_maxsize" "string_number" "mean_meansize" "std_meansize" "cv_meansize" "median_meansize" "mean_mediansize" "std_mediansize" "cv_mediansize" "median_mediansize" "excess_mass" "modes_p_value" "unimode" "first_mode" "second_mode" "betaslope" "betaslope_ci_inf" "betaslope_ci_sup" "bruvs_type"
"1" "2012_Tvedestrand__2012-06-06" "2012_Tvedestrand" 2012 6 "2012-06-06" -12.0714285714286 89.9710213797433 2.45388063362667 500.462177625536 NA NA 0 1.41641668478648 NA "Norway" 1.98 1.24 1.88 1.68 2.2 1022985.32705399 0.252239 0 0.944 11.0917617252895 13.5299997329712 6.87140430722918 1.14742023604257 1458.06609235491 NA 3829948.15497861 30775.9825470497 39.6274169979695 58.5938951741935 9.08947073258065 0.423977174724937 0.24156737620897 0.569765050124907 0.426843050841662 7 0.263791029215351 0.252539879547721 0.957348247584098 0.180485726362903 0.263791029215351 0.252539879547721 0.957348247584098 0.180485726362903 0.120680231718268 0.198 0.126682799112534 NA NA -0.612820198019727 -0.906710198019727 -0.298650198019726 "benthic"
"2" "2012_Tvedestrand__2012-06-07" "2012_Tvedestrand" 2012 6 "2012-06-07" -19.5 89.9137107849121 2.72150722742081 1019.34126400657 NA NA NA 1.63911116123199 NA "Norway" 1.98 1.24 1.88 1.68 2.2 1023677.48597447 0.252239 0 0.944 11.0524329185486 12.1700000762939 6.67109398841858 1.04940104484558 1416.55900878906 NA 3829227.97283823 32284.9296689946 44.8700576850888 58.5907150288462 9.10538803980769 1.19792699442231 0.666692749295398 0.556538714295278 1.47213286049929 9 0.463852422964399 0.387341599044704 0.835053521051528 0.339934917767435 0.463852422964399 0.387341599044704 0.835053521051528 0.339934917767435 0.0765496967185589 0.428 0.194024108052485 NA NA -0.816251093378569 -0.992051093378569 -0.634901093378569 "benthic"
"3" "2012_Tvedestrand__2012-06-08" "2012_Tvedestrand" 2012 6 "2012-06-08" -21.2 89.9269233703613 2.6429434299469 1013.160053718 NA NA 0 0.669912040233612 0 "Norway" 1.98 1.24 1.88 1.68 2.2 1023650.34219626 0.252239 0 0.944 11.1030999183655 13.5299997329712 6.63650088310242 1.09294052124023 1411.35246582031 NA 3829257.63774046 30237.3053305186 39.6274169979695 58.5903145575342 9.10255283630137 1.20749514593956 1.04114747726177 0.862237401750917 0.9254995 9 0.347964521852842 0.307880208364709 0.884803446987378 0.305871772757951 0.347964521852842 0.307880208364709 0.884803446987378 0.305871772757951 0.136800937664187 0 0.302960915122116 0.139426703544787 3.69420461964416 -0.977328624299706 -1.10717862429971 -0.846998624299706 "benthic"
"4" "2012_Tvedestrand__2012-06-11" "2012_Tvedestrand" 2012 6 "2012-06-11" -23.7 89.9612312316895 2.45527979135513 1197.5379314299 NA NA 0 0.492305545343293 0 "Norway" 1.98 1.24 1.88 1.68 2.2 1023893.50742906 0.252239 0 0.944 11.0966998100281 13.8099994659424 6.43384833335876 1.05273274183273 1358.29605712891 NA 3829014.59873435 30360.3893691158 42.6274169979695 58.5974168458823 9.11490693847059 2.31908738931883 2.42992505408493 1.04779365593405 1.73017956971074 10 0.46884266574457 0.305799043138782 0.652242352246552 0.548928908734812 0.46884266574457 0.305799043138782 0.652242352246552 0.548928908734812 0.19502686660866 0 0.553315535384935 0.358776707702154 8.8001770234318 -0.953980913343017 -1.05854091334302 -0.848580913343017 "benthic"
"5" "2012_Tvedestrand__2012-06-14" "2012_Tvedestrand" 2012 6 "2012-06-14" -24.875 89.9114475250244 2.60726228356361 1183.56525457153 NA NA 0 0.870400008559227 0 "Norway" 1.98 1.24 1.88 1.68 2.2 1024008.81004615 0.252239 0 0.944 11.0680414438248 13.6016664505005 6.53427910804749 1.05492699146271 1364.39472961426 NA 3828926.22207884 30685.1429351313 43.6274169979695 58.5871482553191 9.10830535638298 1.05483601807044 0.632404645611199 0.599528869679695 0.940682 8 0.542669551400302 0.679441664660604 1.25203572396383 0.335418592595507 0.542669551400302 0.679441664660604 1.25203572396383 0.335418592595507 0.164155906327954 0 0.251147152933559 0.253119096124146 1.8570776093235 -0.816751975295233 -1.00397197529523 -0.623421975295233 "benthic"
"6" "Abrolhos_2007_CMF__2007-05-23" "Abrolhos_2007_CMF" 2007 5 "2007-05-23" -35.6388888888889 89.5944673750136 11.7494667768478 2943.25595635384 NA 0 0 0 0 "Australia" 1.77 0.97 1.62 1.41 1.89 265425.661966369 0.095532 1 0.932 22.5218326250712 22.0112495422363 0.459301388098134 0.544637825753954 484.712893168132 "All" 2484.82826104452 406089.269787518 638.07315985292 -28.6722594633427 113.903341506238 5.16178041715597 9.96773048128522 1.93106441493635 1.77038322190816 36 0.216583816713897 0.481500048047283 2.22315801500228 0.0623253945233429 0.216583816713897 0.481500048047283 2.22315801500228 0.0623253945233429 0.0820723221818683 0 0.320542206848202 0.193928716049745 56.405111754671 -1.11461687572187 -1.12739687572187 -1.10191687572187 "benthic"
"7" "Abrolhos_2007_CMF__2007-05-24" "Abrolhos_2007_CMF" 2007 5 "2007-05-24" -37.1136363636364 88.4148668809371 18.5125765800476 6959.45203426247 NA NA NA 0 0.149976854974573 "Australia" 1.77 0.97 1.62 1.41 1.89 267445.34827055 0.095532 1 0.932 22.3794083595276 21.8859996795654 0.346071646972136 0.52521127326922 404.34293088046 "All" 5988.04332386705 403720.506811264 626.07315985292 -28.7342704303788 114.003438424397 11.8575188651535 33.4848145211226 2.82393095064151 2.87904172858368 44 0.392203214701514 1.98392768269045 5.05841769859107 0.087072335 0.392203214701514 1.98392768269045 5.05841769859107 0.087072335 0.0733626457215706 0 0.259846059994373 0.218033803500177 210.104386381404 -1.10386797647266 -1.11273797647266 -1.09503797647266 "benthic"
"8" "Abrolhos_2007_CMF__2007-05-25" "Abrolhos_2007_CMF" 2007 5 "2007-05-25" -36.0789473684211 89.4986152648926 14.4241863049959 6147.03174719124 NA NA 0 0 0.100641534796783 "Australia" 1.77 0.97 1.62 1.41 1.89 261444.764751227 0.095532 1 0.932 22.4473677183452 21.9149990081787 0.351476417560326 0.516336056746935 411.004544709858 "All" 4697.4747465087 390690.184537401 600.132034355966 -28.7855546478054 113.971696500075 7.97317915719438 14.7070548186642 1.8445659540202 2.8410884393538 38 0.0684620275904939 0.0342305091126426 0.49999262828429 0.0624121805967397 0.0684620275904939 0.0342305091126426 0.49999262828429 0.0624121805967397 0.0434020166593595 0 0.215528263793786 0.173281035655158 80.136279076464 -1.25946875803082 -1.27610875803082 -1.24301875803082 "benthic"
"9" "Abrolhos_2007_CMF__2007-05-26" "Abrolhos_2007_CMF" 2007 5 "2007-05-26" -31.475 89.8630397796631 10.5464366912842 6278.55961726449 NA NA 0 NA 0.133549382289251 "Australia" 1.77 0.97 1.62 1.41 1.89 257336.753652951 0.095532 1 0.932 22.4891827583313 22.2574996948242 0.374733874201775 0.522099235653877 431.098368835449 "All" 5943.73748044021 389154.044498555 605.717820793593 -28.8119609484587 113.948898842587 11.1088848166173 12.8627249760149 1.15787724765803 6.77639581829657 20 0.223946967616035 0.544105152983018 2.4296160773023 0.0348471482271478 0.223946967616035 0.544105152983018 2.4296160773023 0.0348471482271478 0.0988201391305217 0 0.431615004326662 0.279960180832106 45.1313601938198 -0.997688424740072 -1.01142842474007 -0.983938424740072 "benthic"
"10" "Abrolhos_2007_CMF__2007-05-27" "Abrolhos_2007_CMF" 2007 5 "2007-05-27" -31.71875 89.369286775589 7.46742948889732 4012.72737786574 NA 0 0 0 0.141403352841735 "Australia" 1.77 0.97 1.62 1.41 1.89 254753.716664191 0.095532 1 0.932 22.4952910542488 22.1037502288818 0.433017177507281 0.532160250470042 477.103462219238 "All" 3881.70171114068 387273.223113642 617.717820793593 -28.8376000823735 113.946722281797 15.0995752083238 39.9441916519924 2.64538512513734 2.32788528083721 32 0.0753077657748639 0.147123214669012 1.95362607236076 0.0379382221853552 0.0753077657748639 0.147123214669012 1.95362607236076 0.0379382221853552 0.162250397823106 0 0.201893579262688 0.193515878430325 194.063618517076 -1.0987250875699 -1.1086650875699 -1.0888350875699 "benthic"
