ID lat_in lon_in mean_median_size STD CV median_median_size BRUVS_Number
"1" -20.6650707306141 116.427350395936 0.0781533099411707 0.0836059696785243 1.06976876272365 0.0541862671319708 44
"2" -20.5171217468806 116.581392335116 0.088946580274157 0.080033742214115 0.899795607289564 0.0555166169159878 32
"3" -20.3294641563394 116.465718303146 0.230754708886361 0.101002498015863 0.437705035374181 0.226159849049565 20
"4" -20.0968299574694 116.399395108985 0.245443189897166 0.246013779843662 1.00232473325797 0.225630563588106 38
"5" -20.4508152758133 116.529263507779 0.412092387650469 0.593797592870258 1.44093317582442 0.0605868978525349 10
"6" -21.8937855654762 114.160450297619 0.0928069223769444 0.0568692618883048 0.612769612780874 0.0845778268709815 20
"7" -22.3321703979174 114.189610710301 0.0458324084986652 0.0287564119304372 0.627425284256548 0.04371501 49
"8" -22.1085048833819 114.486945991254 0.0295082696768831 0.0147639402756275 0.500332294549743 0.0274103313344171 37
"9" -22.3440198032787 114.174775213115 0.036541546196127 0.0179847707570407 0.492173228262214 0.0354017019382081 34
"10" -22.0243057268722 114.448775770925 0.161044554219241 0.255107094988621 1.58407774932474 0.05909559 13
"11" -21.9479 114.4188 0.108555 NA NA 0.108555 1
"12" -21.6123114864644 114.28066289591 0.404637165018261 0.542166266626557 1.33988252562537 0.244829720774152 20
"13" -20.893524964327 115.191309129889 0.742297759534017 0.867102191584076 1.16813257274063 0.280959150495027 27
"14" -21.4301991424763 114.746451429083 0.466355629177299 0.606283081669603 1.30004452340192 0.189348939205836 29
"15" -20.7382159967426 115.230988560666 0.82212535207234 1.00004127259979 1.21640972399035 0.492108423331324 30
"16" -20.2751323197721 115.306687977388 1.42751173660435 1.00618667010766 0.704853518403353 1.29914733197513 26
"17" -20.6269384258706 116.426765181144 0.142544376375531 0.101139762728206 0.709531763369993 0.160579014926603 15
"18" -21.7891579119691 114.148014029472 0.232110443409547 0.337807924204133 1.4553758083521 0.123036549644685 24
"19" -20.5943621644216 116.461960155784 0.14115256765352 0.102583488070524 0.726756089356663 0.11603485 18
"20" -20.4121033238487 116.823105810197 0.29113798820257 0.203562107799229 0.69919459516768 0.302058370875993 12
"21" -20.9025029381188 115.91597858474 0.237630019938363 0.194478548757704 0.818409007448421 0.234295127469955 26
"22" -21.7440493375175 114.269285800467 0.120636222665777 0.13529651461097 1.12152479264714 0.076008854762974 34
"23" -21.5595488911908 114.728338090219 0.228502804116347 0.487326369176408 2.13269316786273 0.06353518 31
"24" -21.4614133733584 114.932258158366 0.0689483747740699 0.0845174593019384 1.22580785375849 0.0176181461512864 27
"25" -21.6488197600109 114.493074854634 0.0966899645045557 0.0907110637782782 0.938164206007173 0.0655282472176192 26
"26" -21.3246701341997 115.099209510988 0.165736794497239 0.202108504178444 1.21945464669772 0.1101212 27
"27" -21.1448215316551 115.616657916765 0.277353241837113 0.378695551287659 1.36539075144491 0.173093298057658 27
"28" -9.88232367191456 143.304815690347 0.589140407040001 0.526997009028483 0.894518526875889 0.294455603005603 13
"29" -10.0087318082664 143.549296221384 0.17551608287426 0.226701424099167 1.29162764110669 0.0843038482224927 14
"30" -9.9494275171018 143.293408628381 0.292248413355778 0.306842314159785 1.04993662972001 0.262434583031856 14
"31" -11.5644711639558 143.000019456424 1.96343665184453 3.74427172282729 1.90699899551625 0.354087094785985 15
"32" -11.253206899884 142.907517099681 4.17821082739352 11.5148694668719 2.75593308776503 0.331877024653622 16
"33" -11.5206865587045 143.007385290148 0.335076548189495 0.14062175578856 0.419670539607667 0.294455603005603 16
"34" -9.96343306953839 143.388382317669 0.0834227548692896 0.105846392084309 1.26879521360992 0.02834632 15
"35" -10.71676103624 143.96771075118 0.128425393421546 0.291433859157313 2.26928531338584 0.0320146206977364 16
"36" -12.2444591954023 143.224977586207 0.494920599334961 0.746425448518969 1.50817211795581 0.294455603005603 14
"37" -11.9650430400619 143.266735384353 0.738438391227145 1.20924870415278 1.63757561703047 0.294455603005603 7
"38" -10.76410908021 143.973182270505 0.342677632975357 0.584154577873924 1.70467670388027 0.03689432 17
"39" -10.06003635153 143.777880866084 0.113276085175071 0.141989631974885 1.25348286670957 0.057580068255049 12
"40" -10.7362053291307 143.972101672892 0.239923567321387 0.654449073278533 2.72773984058795 0.03240521 17
"41" -11.7408872672152 142.973851028758 1.73436049862588 2.8027980391565 1.61604121021963 0.570793612755637 6
"42" -10.002099949904 143.530748753902 0.753985636610256 2.52281104991096 3.34596698851311 0.04872472 17
"43" -10.147757060858 143.623581145015 0.125316046142864 0.18976127088693 1.51426155490572 0.066354 18
"44" -12.2463558196497 143.214865093949 0.785441247959799 1.6215542119716 2.06451369365134 0.171726638815104 20
"45" -12.2521318072435 143.242499484549 1.97899756651733 6.32298821328719 3.19504597694604 0.24157519215791 19
"46" -13.5037776714835 143.733723972527 0.221851655280003 0.21374358388342 0.963452734277102 0.182002696291576 20
"47" -11.4545560126781 143.043292096296 0.28670489078514 0.402885686429962 1.40522781221716 0.206257541454586 20
"48" -11.5400802157633 143.027649559533 0.164077747922726 0.156930456327665 0.956439604482946 0.109414208005381 20
"49" -11.5994210264602 142.940515678693 0.759319188485217 1.37164988686524 1.80642068271919 0.271523049520326 20
"50" -10.1904187321646 143.676284461669 0.122469712985566 0.119503984919821 0.975783987784033 0.0654150132077383 15
"51" -12.2422727252078 143.206859800978 0.287921670684856 0.524271690400529 1.82088305181575 0.1085168 19
"52" -13.9865808863815 143.986672188948 0.451757174897175 0.557091296985041 1.23316535506457 0.203931198134706 18
