ID lat_in lon_in mean_max_size STD CV median_max_size String_Number
"1" -5.41431208545454 72.3777510590616 21.1280541646227 29.1166443530824 1.37810345080599 9.42944553724375 4
"2" -5.67914409486486 71.3645987762162 1.84334179028618 2.06068675792415 1.11790812142562 1.84334179028618 2
"3" -7.13182858771552 72.2030696539224 26.7575922875442 37.8124032627967 1.41314670081129 26.7575922875442 2
"4" -5.40762230903272 72.3508403531294 6.99957300782464 11.835303319231 1.69086075764916 1.40411870556499 4
"5" -6.31766368777778 72.1754451877778 6.09983465122612 7.24670509603759 1.18801664477593 3.24080087587717 4
"6" -7.17352071941748 72.1049688339806 102.585755846927 122.827489539468 1.19731524640462 82.2096360800237 4
"7" -6.60124490196078 71.340272745098 6.33459312589808 9.07349864517264 1.43237276093976 3.0292167051156 4
"8" -6.62761337820513 71.4015703717949 0.0495876070537934 0 0 0.0495876070537934 2
"9" -5.53405298245614 71.9817919298246 2.31576324781277 3.20485632588089 1.38393090438233 2.31576324781277 2
"10" -5.51434049707581 71.9445262371119 16.8026890359728 22.5886264605137 1.34434592059365 9.6606260797319 4
"11" -20.0905667368947 115.671780572556 295.697568072799 444.983277207129 1.50485944171708 94.6147256507029 4
"12" -20.2329502220561 115.758922691589 56.173701214615 NA NA 56.173701214615 1
"13" -19.8355683313889 115.817284975694 328.272330370309 197.241651959691 0.600847630798465 376.725613356972 4
"14" -20.4888290329786 115.145064553526 134.612125863395 79.0774987909774 0.587447069004956 122.283834747206 6
"15" -20.1658749289976 115.44849479952 487.022002838062 285.276164086375 0.585756213115553 466.962557480938 5
"16" -19.8208852730932 115.574436381356 63.8617831662434 72.6555463548925 1.1376999318318 53.1986220955004 4
"17" -19.6678711409759 115.324797611446 97.7070177639059 94.9276347124739 0.97155390559409 74.7914183623866 6
"18" -20.2959223422222 115.047637754902 145.800921540004 156.964860373651 1.0765697412316 85.8645950157554 4
"19" -20.0483347373117 115.00299144904 52.5436870999272 82.1668878686343 1.56378230009573 0.0446346685526298 6
"20" -21.841575839273 113.802077150709 269.772749056498 141.05082007912 0.522850512412503 297.425828945134 4
"21" -21.5864760824742 114.21508371134 267.625065040421 161.646397424942 0.604003206502826 281.832027899114 3
"22" -21.9306399867568 113.766861301455 164.200664818156 219.693620722287 1.33795816823023 84.2269811829507 4
"23" -21.7624657133333 113.833547508333 195.938644948255 206.383675059916 1.05330765717207 202.627339966158 4
"24" -22.0301698564593 113.754951674641 132.406361519232 241.908922464945 1.82701888103622 17.5828747441121 4
"25" -21.6660284797619 114.137644595238 378.4894806502 NA NA 378.4894806502 1
"26" -20.0567739130435 116.630039440994 94.4567987938916 24.0350905028471 0.254455907989139 97.4688614932803 4
"27" -20.0636105906314 116.64913401222 137.821778674145 60.9724524364722 0.442400707805628 140.715422692563 4
"28" -20.1421156626506 116.422521686747 69.0911793336841 48.1265668669087 0.696566006414157 68.9178290814578 4
"29" -20.1221631992603 116.426619001387 39.1054510041551 18.9187715875102 0.48378860495689 33.0572799504302 3
"30" -20.0864486631016 116.651804812834 59.1236814861229 NA NA 59.1236814861229 1
"31" -20.1205594594595 116.458 18.5112596412288 NA NA 18.5112596412288 1
"32" -20.1300434146341 116.436619512195 71.227585710648 NA NA 71.227585710648 1
"33" -8.24339857142857 -14.3626197959184 82.4504494160945 135.027600519529 1.63768180132165 9.07006364538711 3
"34" -7.92287321428571 -14.44238 234.50248210047 NA NA 234.50248210047 1
"35" -8.83227834782609 -11.08132 4.00452671044648 5.64409988531967 1.40942995100921 4.00452671044648 2
"36" -8.43839692307692 -12.9618536538462 62.7345066479104 88.7132452196401 1.4141060472115 62.7345066479104 2
"37" -8.43473761904762 -17.150999047619 124.049055671601 130.779615737657 1.05425724548742 111.492475765801 3
"38" -8.437572 -16.9693 35.6171482099869 NA NA 35.6171482099869 1
"39" -9.73927938547486 -12.828853575419 134.970936803722 143.01058380606 1.05956576425063 96.107530809244 3
"40" -9.7355602745098 -12.8106971764706 99.4460233283887 53.268142428026 0.535648793638786 103.817136115459 3
"41" -9.76072992307692 -12.0581916153846 75.7512564346615 9.66535562112374 0.127593337405043 72.2709368478414 3
"42" -7.08489458333333 -11.170571875 8.79727915126859 12.3053557954858 1.3987683673436 8.79727915126859 2
"43" -9.67496432098765 -15.2248083950617 83.3978624145155 117.941309043969 1.41420062372535 83.3978624145155 2
"44" -7.81267833333333 -14.3813213888889 0.0105547653625624 NA NA 0.0105547653625624 1
"45" -8.43857235294118 -17.1177558823529 74.363286480394 21.6640571934725 0.291327323183655 74.363286480394 2
"46" -7.85837727272727 -14.4034854545455 10.073772375153 NA NA 10.073772375153 1
"47" -9.7546982278481 -12.1172306329114 120.978527757599 40.029449434036 0.330880613080711 132.00538848591 3
"48" -10.8637478571429 -13.0620314285714 112.97507173719 39.9000479133753 0.353175681146663 112.97507173719 2
"49" -8.4364821875 -16.9263465625 22.5873001003553 39.1219681594546 1.73203384139033 0.000344669760408186 3
"50" -10.0637123529412 -13.7531129411765 0.00802652396509334 NA NA 0.00802652396509334 1
"51" -7.67530071428571 -14.3909485714286 14.2684437466054 NA NA 14.2684437466054 1
"52" -9.7638603125 -11.93749625 40.1637793054597 56.7999209944243 1.41420757649425 40.1637793054597 2
"53" -8.31981688888889 -14.7941668888889 52.1426446030218 73.0787667256221 1.40151630746759 52.1426446030218 2
"54" -7.93941594594595 -14.4884108108108 114.140777184045 NA NA 114.140777184045 1
"55" -9.73568652173913 -12.9873543478261 20.3275002707406 31.9422720655796 1.57138219850659 3.8364520628989 3
