"key" "Exped" "Date" "mean_lat" "mean_long" "mean_maxsize" "std_maxsize" "cv_maxsize" "median_maxsize" "BRUVS_number" "mean_meansize" "std_meansize" "cv_meansize" "median_meansize" "mean_mediansize" "std_mediansize" "cv_mediansize" "median_mediansize" "excess_mass" "modes_p_value" "unimode" "first_mode" "second_mode" "betaslope" "betaslope_ci_inf" "betaslope_ci_sup"
"2012_Tvedestrand__2012-06-06" "2012_Tvedestrand" "2012-06-06" 58.5938951741935 9.08947073258065 0.423977174724937 0.24156737620897 0.569765050124907 0.426843050841662 7 0.263791029215351 0.252539879547721 0.957348247584098 0.180485726362903 0.263791029215351 0.252539879547721 0.957348247584098 0.180485726362903 0.120680231718268 0.198 0.126682799112534 NA NA -0.612820198019727 -0.906710198019727 -0.298650198019726
"2012_Tvedestrand__2012-06-07" "2012_Tvedestrand" "2012-06-07" 58.5907150288462 9.10538803980769 1.19792699442231 0.666692749295398 0.556538714295278 1.47213286049929 9 0.463852422964399 0.387341599044704 0.835053521051528 0.339934917767435 0.463852422964399 0.387341599044704 0.835053521051528 0.339934917767435 0.0765496967185589 0.428 0.194024108052485 NA NA -0.816251093378569 -0.992051093378569 -0.634901093378569
"2012_Tvedestrand__2012-06-08" "2012_Tvedestrand" "2012-06-08" 58.5903145575342 9.10255283630137 1.20749514593956 1.04114747726177 0.862237401750917 0.9254995 9 0.347964521852842 0.307880208364709 0.884803446987378 0.305871772757951 0.347964521852842 0.307880208364709 0.884803446987378 0.305871772757951 0.136800937664187 0 0.302960915122116 0.139426703544787 3.69420461964416 -0.977328624299706 -1.10717862429971 -0.846998624299706
"2012_Tvedestrand__2012-06-11" "2012_Tvedestrand" "2012-06-11" 58.5974168458823 9.11490693847059 2.31908738931883 2.42992505408493 1.04779365593405 1.73017956971074 10 0.46884266574457 0.305799043138782 0.652242352246552 0.548928908734812 0.46884266574457 0.305799043138782 0.652242352246552 0.548928908734812 0.19502686660866 0 0.553315535384935 0.358776707702154 8.8001770234318 -0.953980913343017 -1.05854091334302 -0.848580913343017
"2012_Tvedestrand__2012-06-14" "2012_Tvedestrand" "2012-06-14" 58.5871482553191 9.10830535638298 1.05483601807044 0.632404645611199 0.599528869679695 0.940682 8 0.542669551400302 0.679441664660604 1.25203572396383 0.335418592595507 0.542669551400302 0.679441664660604 1.25203572396383 0.335418592595507 0.164155906327954 0 0.251147152933559 0.253119096124146 1.8570776093235 -0.816751975295233 -1.00397197529523 -0.623421975295233
"Abrolhos_2007_CMF__2007-05-23" "Abrolhos_2007_CMF" "2007-05-23" -28.6722594633427 113.903341506238 5.16178041715597 9.96773048128522 1.93106441493635 1.77038322190816 36 0.216583816713897 0.481500048047283 2.22315801500228 0.0623253945233429 0.216583816713897 0.481500048047283 2.22315801500228 0.0623253945233429 0.0820723221818683 0 0.320542206848202 0.193928716049745 56.405111754671 -1.11461687572187 -1.12739687572187 -1.10191687572187
"Abrolhos_2007_CMF__2007-05-24" "Abrolhos_2007_CMF" "2007-05-24" -28.7342704303788 114.003438424397 11.8575188651535 33.4848145211226 2.82393095064151 2.87904172858368 44 0.392203214701514 1.98392768269045 5.05841769859107 0.087072335 0.392203214701514 1.98392768269045 5.05841769859107 0.087072335 0.0733626457215706 0 0.259846059994373 0.218033803500177 210.104386381404 -1.10386797647266 -1.11273797647266 -1.09503797647266
"Abrolhos_2007_CMF__2007-05-25" "Abrolhos_2007_CMF" "2007-05-25" -28.7855546478054 113.971696500075 7.97317915719438 14.7070548186642 1.8445659540202 2.8410884393538 38 0.0684620275904939 0.0342305091126426 0.49999262828429 0.0624121805967397 0.0684620275904939 0.0342305091126426 0.49999262828429 0.0624121805967397 0.0434020166593595 0 0.215528263793786 0.173281035655158 80.136279076464 -1.25946875803082 -1.27610875803082 -1.24301875803082
"Abrolhos_2007_CMF__2007-05-26" "Abrolhos_2007_CMF" "2007-05-26" -28.8119609484587 113.948898842587 11.1088848166173 12.8627249760149 1.15787724765803 6.77639581829657 20 0.223946967616035 0.544105152983018 2.4296160773023 0.0348471482271478 0.223946967616035 0.544105152983018 2.4296160773023 0.0348471482271478 0.0988201391305217 0 0.431615004326662 0.279960180832106 45.1313601938198 -0.997688424740072 -1.01142842474007 -0.983938424740072
"Abrolhos_2007_CMF__2007-05-27" "Abrolhos_2007_CMF" "2007-05-27" -28.8376000823735 113.946722281797 15.0995752083238 39.9441916519924 2.64538512513734 2.32788528083721 32 0.0753077657748639 0.147123214669012 1.95362607236076 0.0379382221853552 0.0753077657748639 0.147123214669012 1.95362607236076 0.0379382221853552 0.162250397823106 0 0.201893579262688 0.193515878430325 194.063618517076 -1.0987250875699 -1.1086650875699 -1.0888350875699
"Abrolhos_2007_CMF__2007-05-29" "Abrolhos_2007_CMF" "2007-05-29" -28.8503944122582 113.902770197691 15.0355103100963 24.6558444282674 1.63984087801204 2.57493567248534 22 0.0787692657282918 0.209280003824265 2.65687386938656 0.0303621925 0.0787692657282918 0.209280003824265 2.65687386938656 0.0303621925 0.0581113801452782 0 0.252677811754459 0.195912831725234 81.9244270291499 -1.18760098705076 -1.21093098705076 -1.16465098705076
"Abrolhos_2010__2010-05-30" "Abrolhos_2010" "2010-05-30" -28.8381875727944 113.917129710995 8.90624749541347 10.1718649121634 1.14210445166741 2.45938314047533 9 0.0790964305212216 0.0470916790972912 0.595370471043652 0.06269712 0.0790964305212216 0.0470916790972912 0.595370471043652 0.06269712 0.145383408794184 0 0.140279290211893 0.112000362724411 25.789987684235 -1.16469339751813 -1.19257339751812 -1.13716339751813
