"Exped" "Date" "mean_lat" "mean_long" "excess_mass" "p_value" "unimode" "bimode1" "bimode2"
"1" "Dampier Stereo_2015" "2015-09-12" -20.6650707306141 116.427350395936 0.0145899410038715 0 0.114817806322009 0.116883624402668 65.5310356831382
"2" "Dampier Stereo_2015" "2015-09-13" -20.5171217468806 116.581392335116 0.0260390794884862 0 0.182096745604674 0.152217253132207 65.0710746874165
"3" "Dampier Transect_2015" "2015-09-10" -20.3294641563394 116.465718303146 0.0307284636095083 0 0.348543192276367 0.32399926162101 57.5248616538312
"4" "Dampier Transect_2015" "2015-09-11" -20.0968299574694 116.399395108985 0.0702956756805167 0 0.319591486321496 0.314198385888904 35.4062677887405
"5" "Dampier Transect_2015" "2015-09-13" -20.4508152758133 116.529263507779 0.0298368690924569 0.004 0.335740562132152 0.286609177567387 57.8050999999976
"6" "Exmouth Gulf_2015" "2015-08-29" -21.8937855654762 114.160450297619 0.0359065835115448 0 0.211875672548302 0.19788688348909 156.010860775744
"7" "Exmouth Gulf_2015" "2015-08-30" -22.3321703979174 114.189610710301 0.0412482225981927 0 0.172040494408691 0.159126289953072 119.495044643907
"8" "Exmouth Gulf_2015" "2015-09-01" -22.1085048833819 114.486945991254 0.0235391303801381 0 0.1730336891208 0.144931463603033 75.4491565005822
"9" "Exmouth Gulf_2015" "2015-08-31" -22.3440198032787 114.174775213115 0.0318682664706634 0 0.191241546719453 0.13645751353765 130.034826427001
"10" "Exmouth Gulf_2015" "2015-09-02" -22.0243057268722 114.448775770925 0.0336074135346532 0.602 0.151338152559914 NA NA
"11" "Exmouth Gulf_2015" "2015-09-04" -21.9479 114.4188 0.0303836393730548 0.37 0.134742902875153 NA NA
"12" "Exmouth to Dampier Deep_2014" "2014-10-24" -21.6123114864644 114.28066289591 0.0493975244492854 0 0.826760460288838 0.739967358527718 109.633693034372
"13" "Exmouth to Dampier Deep_2014" "2014-10-26" -20.893524964327 115.191309129889 0.0568863849353217 0 0.590913479108309 0.476674889125981 116.112250106521
"14" "Exmouth to Dampier Deep_2014" "2014-10-25" -21.4301991424763 114.746451429083 0.0642661697771565 0 1.03205074833497 0.740671240798253 202.199793487716
"15" "Exmouth to Dampier Deep_2014" "2014-10-27" -20.7382159967426 115.230988560666 0.0176994725632578 0 0.368046923535346 0.328299379465392 109.639954031744
"16" "Exmouth to Dampier Deep_2014" "2014-10-28" -20.2751323197721 115.306687977388 0.0415046076014092 0 1.68349123732635 1.34678728453791 93.6467650649578
"17" "Exmouth to Dampier Shallow_2014" "2014-05-07" -20.6269384258706 116.426765181144 0.0356830553870108 0 0.368784167996296 0.29118208727111 559.538571425723
"18" "Exmouth to Dampier Shallow_2014" "2014-05-15" -21.7891579119691 114.148014029472 0.0459550917077308 0 0.365731002216364 0.358542275337243 257.106315361558
"19" "Exmouth to Dampier Shallow_2014" "2014-04-06" -20.5943621644216 116.461960155784 0.0575853881433768 0 0.324527738818148 0.265772057694072 85.8801181222518
"20" "Exmouth to Dampier Shallow_2014" "2014-05-06" -20.4121033238487 116.823105810197 0.0640083527059178 0 0.344688308840109 0.308793999495645 38.7229319752715
"21" "Exmouth to Dampier Shallow_2014" "2014-05-08" -20.9025029381188 115.91597858474 0.0581145071024126 0 0.300612735304171 0.30603039201003 210.96455723423
"22" "Exmouth to Dampier Shallow_2014" "2014-05-14" -21.7440493375175 114.269285800467 0.0629662738121937 0 0.32213656267065 0.244433888344616 190.099414898821
