"Exped" "Date" "mean lat" "mean long" "beta_slope" "inf CI" "sup CI" "String Number"
"Chagos 2015" "2015-01-24" -6.3723926142596 73.2908935283364 -1.06780159985786 -1.08682159985786 -1.04898159985786 4
"New Caledonia 2014" "2014-02-08" -20.4866606164384 163.952530821918 -1.21763780446371 -1.28274780446371 -1.15819780446371 1
"New Caledonia 2014" "2014-10-04" -18.2027166666667 162.973462962963 -1.76944531430631 -2.10114531430631 -1.50536531430631 1
"New Caledonia 2014" "2014-02-06" -22.372837 166.23682 -1.96546849810059 -2.25838849810059 -1.72180849810059 1
"New Caledonia 2014" "2014-10-03" -18.1454947916667 162.800059375 -0.623964197282503 -0.910704197282503 -0.311374197282502 1
"New Caledonia 2014" "2014-02-07" -21.9104127659574 165.727038297872 -1.32607930449381 -1.46832930449381 -1.19611930449381 1
"New Caledonia 2014" "2014-09-28" -19.6350955882353 163.304347058824 -1.14489544932562 -1.24583544932562 -1.05097544932562 1
"New Caledonia 2014" "2014-02-01" -22.4118961538462 166.246576923077 -2.26416923888066 -2.76416923888066 -1.81267923888066 1
"New Caledonia 2014" "2014-02-02" -22.5099677419355 166.384846774194 -1.59830245296557 -1.83953245296557 -1.40155245296557 1
"New Caledonia 2014" "2014-02-09" -20.1785935483871 164.532758064516 -1.21011270928335 -1.31734270928335 -1.11521270928335 1
"New Caledonia 2014" "2014-02-10" -20.3372714285714 164.689142857143 -1.51697617727921 -1.89490617727921 -1.18142617727921 1
"New Caledonia 2014" "2014-02-11" -20.931221875 165.55545 -1.30579549830246 -1.47449549830246 -1.16104549830246 1
"New Caledonia 2014" "2014-02-13" -22.6569677419355 167.031934677419 -1.19136008518265 -1.29980008518265 -1.09369008518265 1
"New Caledonia 2014" "2014-10-05" -19.7087096774194 163.950493548387 -1.20509121909993 -1.35179121909993 -1.06933121909993 1
"Shark Bay 2012" "2012-04-18" -26.1611944444444 113.13433 -1.38295906436158 -1.51290906436158 -1.26682906436158 4
"Shark Bay 2012" "2012-04-20" -26.11860275 113.182574 -1.22145012973275 -1.36512012973275 -1.08688012973275 5
"Niue 2016" "2016-10-01" -19.9673204761905 -167.806476904762 -0.788982619531572 -0.860302619531572 -0.713362619531572 1
"Malpelo 2018" "2018-04-27" 3.96100927272727 -81.6152805454546 -0.874755790463383 -0.933055790463383 -0.812645790463383 2
"Malpelo 2018" "2018-05-02" 4.02268332010582 -81.6099152425044 -0.625278957351629 -0.663858957351629 -0.584468957351629 2
"Malpelo 2018" "2018-04-30" 4.07317655172414 -81.587754137931 -0.953847440795229 -1.04822744079523 -0.856997440795229 2
"Malpelo 2018" "2018-05-04" 4.0196688172043 -81.5883811827957 -0.955804171519593 -1.23431417151959 -0.676204171519593 1
"Malpelo 2018" "2018-05-01" 3.996335 -81.5965955555556 -0.78225646844618 -0.87340646844618 -0.68007646844618 2
"Malpelo 2018" "2018-04-25" 4.03667778225806 -81.6049656854839 -0.827850332272401 -0.859980332272401 -0.794510332272401 2
"Malpelo 2018" "2018-04-28" 4.00070234602076 -81.6986942214533 -1.12857057669965 -1.14207057669965 -1.11522057669965 2
"Malpelo 2018" "2018-04-26" 3.99503824324324 -81.5763874324324 -1.29517477717895 -1.40972477717895 -1.19723477717895 2
"NW Ashmore 2017" "2017-07-16" -12.1118893181132 123.117365226415 -1.29087904059444 -1.38968904059444 -1.20283904059444 2
"NW Ashmore 2017" "2017-07-17" -12.1436541467143 123.215870371429 -1.09546391673052 -1.16027391673052 -1.03282391673052 2
"NW Ashmore 2017" "2017-07-21" -12.33562368125 123.20132471875 -1.15493482629838 -1.26034482629838 -1.05757482629838 2
"NW Ashmore 2017" "2017-07-18" -12.2533828297 122.92501241 -1.07359061490011 -1.12116061490011 -1.02718061490011 2
"NW Ashmore 2017" "2017-07-19" -12.1633063343558 122.973030527607 -1.14936558191812 -1.18723558191812 -1.11306558191812 2
"NW Ashmore 2017" "2017-07-15" -12.1238413306923 123.049878146154 -1.08811550552036 -1.12328550552036 -1.05404550552036 2
"NW Ashmore 2017" "2017-07-14" -12.18655807425 122.95048835 -1.06987936002241 -1.14376936002241 -0.998739360022407 2
"NW Ashmore 2017" "2017-07-20" -12.3270855652778 123.068826888889 -1.15424079417725 -1.23932079417725 -1.07653079417725 2
"NW Ashmore 2018" "2018-10-07" -12.1398119725806 123.162549096774 -0.804745406495376 -0.898225406495376 -0.700045406495376 4
"NW Ashmore 2018" "2018-10-05" -12.3368636612 123.06512398 -1.16325000191454 -1.23751000191454 -1.09463000191454 4
"NW Ashmore 2018" "2018-10-02" -12.195606326 122.948419571429 -1.00682642616035 -1.08051642616035 -0.933436426160352 4
"NW Ashmore 2018" "2018-10-03" -12.1685469948148 122.991097740741 -1.02019812266125 -1.10479812266125 -0.93674812266125 4
"Osa Peninsula 2019" "2019-03-11" 8.73141658823529 -83.9053137647059 -0.959891653352534 -1.00877165335253 -0.910281653352534 2
"Osa Peninsula 2019" "2019-03-17" 8.65125648351648 -83.7767981318681 -0.963924907214245 -1.00922490721424 -0.918004907214245 2
"Osa Peninsula 2019" "2019-03-14" 8.71889561264822 -83.8385049407115 -0.769940632446339 -0.793700632446339 -0.745300632446339 2
"Osa Peninsula 2019" "2019-03-12" 8.63374739130435 -83.9531586956522 -0.798593715382694 -0.867773715382693 -0.724303715382693 2
"Osa Peninsula 2019" "2019-03-16" 8.46176576923077 -83.6864342307692 -0.988600718105347 -1.06663071810535 -0.909890718105347 2
"Osa Peninsula 2019" "2019-03-26" 8.39930211895911 -83.7417335687732 -1.16124213060458 -1.21756213060458 -1.10587213060458 2
"Osa Peninsula 2019" "2019-03-29" 8.84730598944591 -84.2476650131926 -1.1530830969989 -1.1771330969989 -1.1297430969989 2
"Osa Peninsula 2019" "2019-03-28" 8.68909085526316 -84.1232325657895 -1.22196289474578 -1.27186289474578 -1.17470289474578 2
"Osa Peninsula 2019" "2019-03-24" 8.31863990476191 -83.2811452380952 -1.25711617654626 -1.32823617654626 -1.19039617654626 2
"Osa Peninsula 2019" "2019-03-15" 8.32816967032967 -83.244901978022 -1.10659890337983 -1.14947890337983 -1.06565890337983 2
"Osa Peninsula 2019" "2019-03-22" 8.45500869565217 -83.8118404347826 -1.02246057016547 -1.11237057016547 -0.933300570165474 1
"Osa Peninsula 2019" "2019-03-18" 8.64336625 -83.8452181944444 -1.06064715109133 -1.14328715109133 -0.979317151091333 2
"Osa Peninsula 2019" "2019-03-19" 8.69981754385965 -83.8439219298246 -1.33514291515558 -1.44989291515558 -1.23154291515558 2
"Osa Peninsula 2019" "2019-03-20" 8.70688082474227 -83.9615086597938 -1.48918215226672 -1.59384215226672 -1.39687215226672 2
"Osa Peninsula 2019" "2019-03-25" 8.34455184782609 -83.5167460869565 -1.15063340737627 -1.24974340737627 -1.05410340737627 2
"Osa Peninsula 2019" "2019-03-27" 8.5006796 -83.9676418666667 -1.41260052654101 -1.51698052654101 -1.32059052654101 2
"Osa Peninsula 2019" "2019-03-23" 8.70548504347826 -83.9214136521739 -1.01819144542146 -1.06112144542146 -0.975501445421464 1
"Palau 2014" "2014-09-04" 7.258281 134.5547915 -0.823766671900548 -0.950106671900548 -0.682506671900548 2
"Palau 2014" "2014-09-08" 7.01173235380117 134.327392850877 -1.20957158599487 -1.23066158599487 -1.18904158599487 2
"Palau 2014" "2014-09-16" 7.63192379310345 134.681381724138 -1.11289449953983 -1.23004449953983 -1.00194449953983 2
"Palau 2014" "2014-09-17" 7.31587 134.632796567164 -1.45458793829334 -1.58012793829334 -1.34359793829334 1
"Palau 2014" "2014-09-18" 7.6510643812709 134.479052742475 -1.23966074722098 -1.27692074722098 -1.20386074722098 2
"Palau 2014" "2014-09-06" 7.18611083665339 134.167580756972 -1.02674231748806 -1.06226231748806 -0.991382317488065 2
"Palau 2014" "2014-09-10" 7.28797227272727 134.224232272727 -1.18934280681646 -1.32849280681646 -1.06489280681646 2
"Palau 2014" "2014-09-03" 7.267870875 134.58604075 -0.995950493063873 -1.09486049306387 -0.896960493063873 1
"Palau 2014" "2014-09-19" 7.79702548387097 134.510022903226 -1.22868167896977 -1.34111167896977 -1.12994167896977 2
"Palau 2014" "2014-09-07" 6.99430260869565 134.308290173913 -1.29179197294471 -1.36075197294471 -1.22765197294471 2
"Palau 2014" "2014-09-22" 7.5536662184874 134.346722044818 -1.24102628678067 -1.27346628678067 -1.20985628678067 2
"Palau 2014" "2014-09-13" 7.7944016 134.706806 -1.18391335264045 -1.68391335264045 -0.68391335264045 1
"Palau 2014" "2014-09-09" 7.10796058823529 134.399393529412 -0.917874409094507 -1.01617440909451 -0.815784409094507 1
"Perth Canyon Spring 2016" "2016-11-25" -31.9440905504 115.05381572 -1.58626609950508 -1.85020609950508 -1.37783609950508 3
"Perth Canyon Spring 2016" "2016-11-30" -31.9483032839024 115.136821853659 -1.30529194504669 -1.42949194504669 -1.19524194504669 2
"Perth Canyon Spring 2016" "2016-11-26" -31.9847357150847 115.103700271186 -1.75739611987008 -1.96856611987008 -1.57779611987008 4
"Perth Canyon Spring 2016" "2016-12-02" -31.905827153125 115.073470625 -2.37187990345877 -2.87187990345877 -1.94695990345877 1
"Rapa 2014" "2014-10-19" -27.5765471847262 -144.412200602819 -0.793585389041558 -0.946555389041558 -0.626365389041558 2
"Rapa 2014" "2014-10-24" -27.5655993925214 -144.286978748578 -0.606646102383886 -0.692536102383886 -0.514296102383886 1
"Rapa 2014" "2014-10-26" -27.8823912960502 -143.491311110052 -0.701199429504316 -0.769789429504316 -0.630349429504316 3
"Rapa 2014" "2014-10-21" -27.6159505080431 -144.315141663886 -0.933433697142348 -1.15680369714235 -0.704913697142348 2
"Rapa 2014" "2014-10-20" -27.6040455580143 -144.282695669038 -0.159583508141586 -0.659583508141586 0.340416491858414 1
"Rapa 2014" "2014-10-23" -27.8972222246229 -143.524307860061 -0.870611349832215 -0.983881349832215 -0.752791349832215 1
"Argo 2018" "2018-08-09" -15.9680109194419 118.573793368778 -1.12324219531676 -1.14295219531676 -1.10383219531676 6
"Argo 2018" "2018-08-06" -15.4567307429457 118.623000317829 -1.03775418228818 -1.07298418228818 -1.00274418228818 6
"Argo 2018" "2018-08-08" -15.7678205559209 118.05140687548 -1.1500023489669 -1.1687223489669 -1.1315623489669 4
"Argo 2018" "2018-08-04" -14.6943961358868 118.820049056604 -1.23108739996284 -1.25692739996284 -1.20605739996284 6
"Argo 2018" "2018-08-10" -16.2074417671097 118.731997573416 -1.18145827678066 -1.20982827678066 -1.15354827678066 4
"Argo 2018" "2018-08-05" -15.07837941341 118.797394595785 -1.23315743575209 -1.27951743575209 -1.18833743575209 4
"Argo 2018" "2018-08-07" -15.2694146444898 118.034922762755 -1.11962692330986 -1.15850692330986 -1.08122692330986 6
"Shark Bay 2019" "2019-09-17" -26.2419862244898 113.040138265306 -1.09805759340881 -1.13125759340881 -1.06566759340881 6
"Shark Bay 2019" "2019-09-23" -25.9054336182336 112.960535327635 -1.04635680089091 -1.07076680089091 -1.02214680089091 6
"Shark Bay 2019" "2019-09-18" -26.3351413043478 113.187110434783 -0.995217167484553 -1.02269716748455 -0.967697167484553 6
"Shark Bay 2019" "2019-09-24" -26.0716977011494 113.020505747126 -1.02101008749457 -1.06787008749457 -0.974520087494566 2
"Timor 2012" "2012-09-16" -12.1649282222222 127.410212923077 -1.35507629329781 -1.43217629329781 -1.28410629329781 1
"Timor 2012" "2012-09-27" -11.43147592 126.93564872 -1.09418044412187 -1.20641044412187 -0.987920444121868 1
"Timor 2012" "2012-09-30" -11.4060733519553 126.981756513966 -1.29250572354429 -1.34666572354429 -1.24147572354429 1
"Timor 2012" "2012-09-28" -11.433686375 126.974054575 -1.20033481667373 -1.29822481667373 -1.11122481667373 1
"Timor 2012" "2012-09-21" -11.9067309290323 127.101603625806 -1.18754673787532 -1.23729673787532 -1.13986673787532 1
"Timor 2012" "2012-10-01" -11.408573742268 126.928726701031 -1.17866783637963 -1.24203783637963 -1.11840783637963 1
"Timor 2012" "2012-09-17" -12.1247788294574 127.438319968992 -1.13091487496097 -1.18521487496097 -1.07825487496097 1
"Timor 2012" "2012-09-18" -12.0753686410256 127.41453349359 -1.40031552135495 -1.47198552135495 -1.33406552135496 1
"Timor 2012" "2012-09-23" -11.8638260068966 127.067048103448 -1.39856341144706 -1.47538341144706 -1.32733341144706 1
"Timor 2012" "2012-09-22" -11.893018540404 127.089554277778 -1.22272133776877 -1.27047133776877 -1.17694133776877 1
"Timor 2012" "2012-09-19" -12.2038785872093 127.433758593023 -1.34949865925603 -1.40984865925603 -1.29337865925603 1
"Timor 2012" "2012-10-02" -11.8771551829268 127.080523256098 -1.65536676695697 -1.80916676695697 -1.52087676695697 1
"Wandoo autumn 2018" "2018-04-20" -20.1349639190411 116.436333742466 -1.02617915185344 -1.05059915185344 -1.00186915185344 3
"Wandoo autumn 2018" "2018-04-22" -20.1152690272418 116.452053331155 -1.11452228542816 -1.12405228542816 -1.10507228542816 4
"Wandoo autumn 2018" "2018-04-24" -20.0620606204609 116.630142614597 -1.14072787746128 -1.15793787746128 -1.12381787746128 4
"Wandoo autumn 2018" "2018-04-21" -20.14796579 116.405821065789 -1.12288995001478 -1.18199995001478 -1.06641995001478 1
"Wandoo autumn 2018" "2018-04-19" -20.1207117488654 116.456061 -1.09802325187506 -1.12988325187506 -1.06656325187506 2
"Wandoo autumn 2018" "2018-04-25" -20.1608226753094 116.239024941368 -1.3012339151698 -1.3444439151698 -1.2598839151698 4
"Wandoo autumn 2018" "2018-04-23" -20.0715519810556 116.64875157037 -1.10761368661895 -1.12612368661895 -1.08942368661895 4
"Wandoo autumn 2019" "2019-04-30" -20.0592337429112 116.631458979206 -1.41614305400476 -1.44318305400476 -1.38997305400476 4
"Wandoo autumn 2019" "2019-04-29" -20.1375156146179 116.425855481728 -1.48480949594023 -1.54416949594023 -1.42905949594023 3
"Wandoo autumn 2019" "2019-04-27" -20.1216115384615 116.456086538462 -1.14063975696039 -1.22363975696039 -1.06204975696039 1
"Wandoo autumn 2019" "2019-04-28" -20.1240107142857 116.42685 -1.1337883726516 -1.2350283726516 -1.0404483726516 2
"Wandoo autumn 2019" "2019-04-26" -20.1161947368421 116.440621052632 -0.933803880380518 -1.02013388038052 -0.844753880380518 1
"Maldives North 2020" "2020-01-12" 5.43401277777778 72.8500740740741 -1.19118986703969 -1.28509986703969 -1.10321986703969 2
"Maldives North 2020" "2020-01-22" 2.24094059523809 72.9234802380952 -1.1567788331606 -1.2012388331606 -1.1138788331606 2
